category,gDork
Files Containing Juicy Info,Fwd: intitle:"Index of /" intext:"resource/" 

Files Containing Juicy Info,site:gov.* intitle:"index of" *.csv 

Files Containing Juicy Info,Fwd: intitle:"atvise - next generation" 

Files Containing Juicy Info,site:papaly.com + keyword 

Files Containing Juicy Info,Google to wordpress 

Files Containing Juicy Info,inurl:admin filetype:xlsx site:gov.* 

Files Containing Juicy Info,inurl:admin filetype:xls 

Pages Containing Login Portals,inurl:/intranet/login.php 

Files Containing Juicy Info,site:pastebin.com intitle:"cpanel" 

Files Containing Juicy Info,site:gov.* intitle:"index of" *.apk 

Files Containing Juicy Info,db_password filetype:env 

Files Containing Juicy Info,inurl: /wp-content/uploads/ inurl:"robots.txt" "Disallow:" filetype:txt 

Files Containing Juicy Info,site:postman.com + keyword 

Pages Containing Login Portals,inurl:"*admin | login" | inurl:.php | .asp 

Files Containing Juicy Info,intitle:index of settings.py 

Pages Containing Login Portals,intitle:"Teltonika -Web UI" | intitle:"Teltonika-RUT -Web UI" inurl:"/cgi-bin/luci" 

Files Containing Juicy Info,inurl:admin filetype:txt 

Pages Containing Login Portals,inurl:/admin/login.php intitle:("Iniciar sesion" OR "Login") 

Various Online Devices,intitle:"MODBUS TCP RS Converter" intext:"Module Name: MMTCPBCONV" "powered by Atmel ARM." 

Files Containing Juicy Info,inurl:admin filetype:xls site:gov.in 

Various Online Devices,intitle:"Secure Access Service" inurl:"/dana-na/auth/url_default/welcome.cgi" 

Various Online Devices,intext:"Real-time IP Camera Monitoring System" intext:"ActiveX Mode (For IE Browser)" 

Pages Containing Login Portals,intitle:"Login" intext:"cam" 

Files Containing Passwords,site:controlc.com intext:"password" 

Files Containing Juicy Info,site:*.ng intitle:index of 

Vulnerable Servers,inurl:adm/login.jsp.bak 

Pages Containing Login Portals,site:*.in inurl:jira login 

Files Containing Juicy Info,site:*.github.io intext:cheatsheet+offensive+pentesting 

Files Containing Passwords,site:rentry.co intext:"password" 

Pages Containing Login Portals,Fwd: intitle:"Schneider Electric Telecontrol - Industrial Web Control" intext:"Xflow " 

Files Containing Juicy Info,intitle:"index of" "wp-inc" 

Files Containing Juicy Info,intitle:"index of" "*.vcf" 

Files Containing Juicy Info,intitle:"index of" "*.yaml" 

Files Containing Juicy Info,inurl:*gov intitle:"index of/documents" 

Pages Containing Login Portals,inurl:console/login.jsp 

Vulnerable Files,intitle:"index of" "*.pl" 

Files Containing Juicy Info,intitle:"index of" "apache.log" | "apache.logs" 

Files Containing Juicy Info,site:*.se intitle:"index of" 

Vulnerable Files,intitle:"index of" "*.php" 

Files Containing Juicy Info,site:*.id intitle:"index of" "screenshot*.jpg" 

Files Containing Juicy Info,inurl:pastebin "SHODAN_API_KEY" 

Sensitive Online Shopping Info,site:mail.* intitle:Dashboard 

Files Containing Juicy Info,site:.edu intext:"index of" "payroll" 

Files Containing Juicy Info,intitle:"index of" "/products" 

Files Containing Juicy Info,intitle:"index of" site:gov.in 

Files Containing Juicy Info,intitle"index of" "php" 

Files Containing Juicy Info,intitle:"index of" "admin.js" 

Files Containing Juicy Info,inurl:*gov intitle:"index of" "docker-compose" 

Files Containing Juicy Info,intitle:"index of" "/mysql" 

Pages Containing Login Portals,inurl:EMSWebClient/ 

Files Containing Juicy Info,allintext"account number" 

Files Containing Juicy Info,site:*.edu.in intitle:index of 

Pages Containing Login Portals,inurl admin login php gov.in 

Pages Containing Login Portals,inurl *:/login.jsp 

Files Containing Juicy Info,inurl:gov.in & inurl:admin 

Pages Containing Login Portals,site:*.gov.au inurl:wp-admin 

Vulnerable Files,intitle:"index of" "*.phtml" 

Files Containing Passwords,site:pastebin.com "admin password" 

Files Containing Juicy Info,site:drive.google.com "*.pdf" 

Pages Containing Login Portals,intitle:"Login" intext:"camera" 

Files Containing Juicy Info,intitle:"index of "/key/" "key.txt" 

Files Containing Juicy Info,site:.in | .com | .net intitle:"index of" ftp 

Files Containing Juicy Info,intitle:"index of" "/public/js" 

Files Containing Juicy Info,intitle:"index of" site:gov.* 

Files Containing Juicy Info,intitle.index of API*.txt 

Files Containing Juicy Info,site:.nic.in inurl:.php?id= 

Files Containing Juicy Info,intitle:"index of" site:gov.np 

Files Containing Juicy Info,intitle:"index of" site:gov.gr 

Files Containing Juicy Info,intitle:"index of" "*.mp" 

Files Containing Juicy Info,inurl:node_modules/ua-parser-js 

Files Containing Juicy Info,inurl:linkedin.com "view my resume" facebook 

Files Containing Juicy Info,intitle.index of .exe 

Files Containing Juicy Info,inurl:forgotpassword.php 

Files Containing Juicy Info,intitle:"index of" "/public_html" 

Files Containing Juicy Info,intitle:"index of" "sysinfo" 

Files Containing Juicy Info,site:*/admin-portal/ 

Files Containing Juicy Info,inurl:.org intitle index.of "inflation" 

Files Containing Juicy Info,intitle:"index of" "admin*.txt" 

Vulnerable Files,inurl:*gov intitle:"index of" "docker-compose" 

Files Containing Juicy Info,intitle.index of .log 

Files Containing Juicy Info,intitle:"index of" site:gov.ru 

Files Containing Juicy Info,intitle:"index of" " mod_auth_mysql " 

Files Containing Juicy Info,inurl:pastebin "Windows  Product Keys*" 

Files Containing Juicy Info,inurl:*gov intitle:"index of/documents" 

Files Containing Juicy Info,intitle:"index of" " sendmail.inc " 

Files Containing Juicy Info,intitle:"index of" " htsearch " 

Files Containing Juicy Info,intitle:"index of" " fileadmin " 

Files Containing Juicy Info,inurl:pastebin "SHODAN_API_KEY" 

Files Containing Passwords,site:pastebin.com "password" 

Files Containing Juicy Info,intitle:"index of" "test.bat " 

Files Containing Juicy Info,intitle:"index of" " glimpse " 

Files Containing Juicy Info,intitle:"index of" " login.jsp " 

Vulnerable Files,intitle:"Index of" site:.in 

Files Containing Juicy Info,site:com "rfp" filetype:pdf 

Files Containing Juicy Info,intitle:"index of" "document*.pdf" 

Sensitive Online Shopping Info,inurl:product-list.php?id= 

Files Containing Juicy Info,inurl:pastebin "API_KEY" 

Files Containing Juicy Info,intitle:"index of" "/students" 

Files Containing Juicy Info,intitle:"index of" "hello.bat " 

Files Containing Juicy Info,inurl:.php?=*php site:.nic.in 

Files Containing Juicy Info,inurl:pastebin "CVV" 

Files Containing Juicy Info,intitle:"index of" upload.asp " 

Files Containing Juicy Info,intitle:"index of" " webdriver " 

Files Containing Juicy Info,intext:"Index of /chatlogs" 

Files Containing Juicy Info,intitle:"index of" "dvwssr.dll " 

Files Containing Juicy Info,intitle:"index of" "data*" 

Files Containing Juicy Info,intitle:"index of" Servlet" 

Files Containing Juicy Info,intitle:"index of" "browser.inc " 

Files Containing Juicy Info,site:.edu intext:"index of" "logs" 

Files Containing Juicy Info,site: com intext " organisation data" filetype:xls 

Files Containing Juicy Info,intitle:"index of" "msadcs.dll " 

Files Containing Juicy Info,intitle:"index of" " index.php.bak " 

Pages Containing Login Portals,inurl:login.php site:.in 

Files Containing Juicy Info,intitle:"index of" "default.asp " 

Files Containing Juicy Info,intitle:"index of" " YaBB.pl " 

Pages Containing Login Portals,site:smtp.*.*/login 

Pages Containing Login Portals,inurl:gov.in & inurl:wp-admin 

Files Containing Juicy Info,"index of" :excel documents 

Files Containing Juicy Info,intitle:"index of" "/.cpanel" 

Files Containing Juicy Info,intitle:"Index of" "DCIM/camera" 

Pages Containing Login Portals,index of:"customer/login" 

Files Containing Juicy Info,intitle:"Index of" "Program files" 

Files Containing Juicy Info,site:*/forgotpassword.php 

Files Containing Juicy Info,intitle:"index of" :mobile number 

Sensitive Online Shopping Info,inurl:/commodities.php?id= 

Various Online Devices,intitle:"webcamXP" inurl: 

Files Containing Juicy Info,site:.edu intitle:"index of" 

Files Containing Juicy Info,intext:"Index of" intext:"config.zip" 

Files Containing Juicy Info,site:.edu inurl:search 

Files Containing Juicy Info,inurl: conf/fastcgi.conf 

Files Containing Juicy Info,site:gov.hk intitle:index of / 

Pages Containing Login Portals,inurl:gov.in & (intitle:login | intitle:signin) 

Files Containing Juicy Info,intitle:"Index of" "Screenshot" 

Files Containing Juicy Info,intitle:"index of" "certificates" 

Files Containing Juicy Info,site:pastebin.com "*@gmail.com password" 

Files Containing Juicy Info,{intitle: indexof/.git } 

Pages Containing Login Portals,site:*.gov.in inurl:login.jsp 

Pages Containing Login Portals,inurl:gov.uk & inurl:wp-admin 

Pages Containing Login Portals,site:.edu.in inurl:login.php 

Files Containing Passwords,site:pastebin.com intext:pass.txt 

Files Containing Juicy Info,intitle:"index of" "node.js" 

Pages Containing Login Portals,site:.edu inurl:login "Admin" 

Files Containing Juicy Info,"index of" :excel documents 

Files Containing Juicy Info,inurl:conf/nginx.conf 

Pages Containing Login Portals,index of:"seller/login" 

Files Containing Juicy Info,intitle:"index of" "/.cpanel" 

Files Containing Juicy Info,site:com intitle:"index of" .env 

Files Containing Juicy Info,intitle:"Index of" *.py 

Pages Containing Login Portals,inurl:gov.in & inurl:wp-admin 

Files Containing Juicy Info,intitle:"Index of" "DCIM/camera" 

Files Containing Juicy Info,intext:"index of" "wp-uploads" 

Pages Containing Login Portals,intext:"untitled" intext:"admin" filetype:php 

Files Containing Juicy Info,intitle:"database" "backup" filetype:sql 

Files Containing Juicy Info,intitle:"index of" Hindi movies 

Files Containing Juicy Info,intitle:"Index of /logs/" "nginx" 

Pages Containing Login Portals,site:.edu.in inurl:login.aspx 

Files Containing Juicy Info,intitle:"index of" "Apache/.. (Ubuntu) Server" 

Files Containing Juicy Info,site:gitlab.* intext:password intext:@gmail.com | @yahoo.com | @hotmail.com 

Files Containing Juicy Info,inurl:wp-content/uploads/wooccm_uploads 

Files Containing Juicy Info,inurl:gov.uk 

